ヨーギラス	0	0.0125
ルカリオ	0	0.0125
バンギラス	0	0.8000337
ミズゴロウ	0	0.9896047
ニドキング	0	0.9922848
フシギバナ	0	0.99273854
ブースター	1	0.47777992
グレイシア	1	0.50670385
サワムラー	1	0.5620812
コオリッポ	2	0.97331053
オムスター	3	0.37344792
アギルダー	3	0.98297375
シルヴァディ	3	0.99498695
セレビィ	5	0.43310502
ベロバー	5	0.7418636
ニャビー	5	0.98381037
ツツケラ	5	0.98683256
ポリゴン	6	0.6804938
カイリュー	6	0.8697717
カメール	6	0.90165085
デリバード	6	0.994452
ミミッキュ	7	0.42115524
ヒドイデ	7	0.6679623
ネギガナイト	7	0.97531205
ヨワシ	7	0.993094
ワタシラガ	8	0.54618204
エレズン	8	0.6613746
ニドクイン	8	0.76683474
デカグース	8	0.91660863
ヨクバリス	8	0.9670826
タチフサグマ	8	0.9717852
サルノリ	8	0.98171234
アンノーン	8	0.98960465
ケムッソ	8	0.9904122
アリアドス	9	0.65392107
オトスパス	9	0.6747066
レディアン	9	0.85804623
バリコオル	9	0.86417174
ハリーセン	9	0.99041224
ディアンシー	10	0.47304252
アーボ	10	0.4853708
サンダース	10	0.524802
コクーン	10	0.53809375
ゼニガメ	10	0.5505028
ウッウ	10	0.7184151
キレイハナ	10	0.7212294
ドククラゲ	10	0.7963308
ポッポ	10	0.9911825
メノクラゲ	10	0.99341637
キャタピー	10	0.99432427
シャワーズ	10	0.9952522
パッチラゴン	11	0.91019994
カマスジョー	11	0.96594787
シュバルゴ	11	0.9835413
ケケンカニ	12	0.3314358
コスモウム	12	0.98024976
セキタンザン	13	0.47718194
パッチルドン	13	0.501214
ズガドーン	13	0.50622827
ヤバチャ	13	0.5073086
マホミル	13	0.58557594
タンドン	13	0.6561284
カムカメ	13	0.69234914
テブリム	13	0.72258383
イーブイ	13	0.7525405
モスノウ	13	0.7566237
カゲボウズ	13	0.83619606
ホシガリス	13	0.96594703
ギモー	13	0.96594715
ユキハミ	13	0.9681442
デスバーン	13	0.9681445
タタッコ	13	0.96913975
レドームシ	13	0.97331
タイレーツ	13	0.98024917
ジュラルドン	13	0.98526037
ノコッチ	13	0.9912606
バタフリー	13	0.99390393
ケロマツ	14	0.43528816
クチート	14	0.45837885
ココガラ	14	0.55082023
フォッコ	14	0.5713027
デオキシス	14	0.72935796
インテレオン	14	0.8263051
アシレーヌ	14	0.8875557
メガヤンマ	14	0.9588313
アオガラス	14	0.9681444
ゴリランダー	14	0.96914005
ゲコガシラ	14	0.97591364
ハリマロン	14	0.97703403
ポットデス	14	0.97984636
コソクムシ	15	0.56383586
ジュナイパー	15	0.7551953
ケルディオ	15	0.92214864
レジロック	17	0.6200638
レジアイス	17	0.9634253
ヤミラミ	17	0.9962451
フォクスライ	18	0.97095555
ベロベルト	18	0.9905949
アグノム	19	0.5214891
ユクシー	19	0.71520895
ストリンダー	19	0.71664715
ゴウカザル	19	0.92946386
ザルード	20	0.2908926
ヤルキモノ	20	0.5496208
オオタチ	20	0.80249417
マナフィ	20	0.98267484
ゲンガー	20	0.99263006
ジャラランガ	21	0.3623811
キノガッサ	21	0.47346073
トロッゴン	21	0.5001469
フーディン	21	0.50148433
ガオガエン	21	0.51165694
テッカグヤ	21	0.5602455
スナヘビ	21	0.6155841
ヒバニー	21	0.6584139
ゲッコウガ	21	0.6760288
パルスワン	21	0.68243676
ドロンチ	21	0.7286428
サダイジャ	21	0.77197284
ウツロイド	21	0.7986596
メェークル	21	0.83231777
アーゴヨン	21	0.9606012
サシカマス	21	0.9620182
ゴーゴート	21	0.96913946
バチンキー	21	0.97007525
サニゴーン	21	0.9709545
ハリボーグ	21	0.98136693
イエッサン	21	0.9826745
ブリガロン	21	0.98432475
ドーブル	22	0.99350303
バチンウニ	23	0.96594787
サッチムシ	23	0.96914
バイウールー	23	0.97007537
ルギア	24	0.373495
アマルルガ	24	0.6717653
フリーザー	24	0.99141276
アーボック	24	0.9937497
サーナイト	25	0.6183026
キリンリキ	25	0.99183846
リザードン	26	0.9959526
グランブル	27	0.7034425
トドゼルガ	27	0.9904122
ゴルバット	27	0.99405104
ナマコブシ	28	0.6470093
マギアナ	28	0.99094
プクリン	29	0.5815091
テッポウオ	29	0.61959773
メテノ	30	0.9810094
ヒコザル	31	0.6429883
ミミロル	31	0.75863403
コリンク	31	0.97095567
ミニリュウ	32	0.4174769
コイキング	32	0.6906026
パチリス	32	0.7035506
ボルトロス	33	0.54913485
シビビール	33	0.6566048
ミカルゲ	33	0.9102261
シビルドン	33	0.95511305
リーフィア	34	0.5526173
ジガルデ	34	0.7181108
ランドロス	35	0.48927703
ヌケニン	35	0.6193345
タルップル	35	0.64011186
アーケン	35	0.8213768
プルリル	35	0.9330722
カジッチュ	35	0.9333435
プテラ	35	0.936987
ドータクン	35	0.9876557
レパルダス	35	0.9891475
ピジョン	36	0.858228
イベルタル	36	0.9717853
サザンドラ	36	0.9854774
ラグラージ	36	0.990318
ニドラン♀	37	0.43337023
モルペコ	37	0.64977854
ニドラン♂	37	0.7598117
カジリガメ	38	0.5488321
ミブリム	38	0.5849108
イシヘンジン	38	0.96814424
ウールー	38	0.9794263
ヒメンカ	38	0.9813669
タブンネ	38	0.9926848
エースバーン	39	0.7013192
オーロンゲ	39	0.9838112
ゼラオラ	39	0.98456985
オニドリル	40	0.25154385
ニドリーノ	40	0.9905948
ニドリーナ	40	0.99263024
ビリリダマ	40	0.99354553
ドラパルト	42	0.98381126
ホルード	42	0.9848071
デデンネ	42	0.9854775
バケッチャ	43	0.29416892
ワンパチ	43	0.47352177
パンプジン	43	0.51896966
ポッチャマ	43	0.59216803
メルタン	43	0.6598945
リザード	43	0.6638223
メルメタル	43	0.73546296
ヤクデ	43	0.79358464
ニャヒート	43	0.89776015
ビビヨン	43	0.981712
ドロバンコ	43	0.98765576
グレッグル	43	0.9900246
ケンタロス	43	0.9930939
ヤンヤンマ	44	0.89027613
リーシャン	44	0.92946386
ウルガモス	44	0.93828
メブキジカ	45	0.8280668
マフォクシー	45	0.9806367
ツンデツンデ	45	0.98100895
ボルケニオン	46	0.4375296
マルヤクデ	46	0.7465553
サイホーン	46	0.7788821
オムナイト	46	0.8014536
メレシー	46	0.86827534
イワンコ	48	0.4474635
ネッコアラ	48	0.60821444
クロバット	48	0.96708286
ニンフィア	49	0.5364752
ピカチュウ	49	0.7599371
ヌメイル	49	0.9840722
ブルー	50	0.5445472
レディバ	50	0.551136
テッカニン	50	0.7294694
ピッピ	50	0.8312104
コイル	50	0.99408656
ネイティ	51	0.9294636
マグマラシ	52	0.56982756
イトマル	52	0.80005825
オクタン	52	0.81171167
ピジョット	52	0.89786553
ヒトカゲ	52	0.99284387
ホウオウ	53	0.86322176
イワーク	54	0.91770697
アノプス	54	0.97331053
ベベノム	55	0.7469929
カビゴン	55	0.94513726
ピチュー	56	0.75713205
ニャイキング	57	0.36930415
ドラメシヤ	57	0.47659978
クスネ	57	0.49178997
ウソッキー	57	0.600514
ソーナンス	57	0.6101102
ラビフット	57	0.6863597
オニスズメ	57	0.7104287
ホエルコ	57	0.9227929
ルナアーラ	57	0.9655667
ゾウドウ	57	0.9670823
ジメレオン	57	0.971785
メッソン	57	0.98297334
ソルガレオ	57	0.9835411
モクロー	57	0.9890268
ユレイドル	57	0.99050444
ハクリュー	57	0.992036
コダック	58	0.617599
アメタマ	58	0.9451375
ナックラー	58	0.9794266
