東京女子体育大学,https://ja.wikipedia.org/wiki/%E6%9D%B1%E4%BA%AC%E5%A5%B3%E5%AD%90%E4%BD%93%E8%82%B2%E5%A4%A7%E5%AD%A6
日本女子体育大学,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E5%A5%B3%E5%AD%90%E4%BD%93%E8%82%B2%E5%A4%A7%E5%AD%A6
洗足学園音楽大学,https://ja.wikipedia.org/wiki/%E6%B4%97%E8%B6%B3%E5%AD%A6%E5%9C%92%E9%9F%B3%E6%A5%BD%E5%A4%A7%E5%AD%A6
東京音楽大学,https://ja.wikipedia.org/wiki/%E6%9D%B1%E4%BA%AC%E9%9F%B3%E6%A5%BD%E5%A4%A7%E5%AD%A6
大阪教育大学,https://ja.wikipedia.org/wiki/%E5%A4%A7%E9%98%AA%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%A6
京都教育大学,https://ja.wikipedia.org/wiki/%E4%BA%AC%E9%83%BD%E6%95%99%E8%82%B2%E5%A4%A7%E5%AD%A6
関西外国語大学,https://ja.wikipedia.org/wiki/%E9%96%A2%E8%A5%BF%E5%A4%96%E5%9B%BD%E8%AA%9E%E5%A4%A7%E5%AD%A6
神戸市外国語大学,https://ja.wikipedia.org/wiki/%E7%A5%9E%E6%88%B8%E5%B8%82%E5%A4%96%E5%9B%BD%E8%AA%9E%E5%A4%A7%E5%AD%A6
静岡県立大学,https://ja.wikipedia.org/wiki/%E9%9D%99%E5%B2%A1%E7%9C%8C%E7%AB%8B%E5%A4%A7%E5%AD%A6
筑波大学,https://ja.wikipedia.org/wiki/%E7%AD%91%E6%B3%A2%E5%A4%A7%E5%AD%A6
横浜国立大学,https://ja.wikipedia.org/wiki/%E6%A8%AA%E6%B5%9C%E5%9B%BD%E7%AB%8B%E5%A4%A7%E5%AD%A6
日本女子大学,https://ja.wikipedia.org/wiki/%E6%97%A5%E6%9C%AC%E5%A5%B3%E5%AD%90%E5%A4%A7%E5%AD%A6
南山大学,https://ja.wikipedia.org/wiki/%E5%8D%97%E5%B1%B1%E5%A4%A7%E5%AD%A6
