ヌメイル,49,0.9840722
バケッチャ,43,0.29416892
パンプジン,43,0.51896966
ゼルネアス,70,0.62597644
イベルタル,36,0.9717853
ジガルデ,34,0.7181108
ディアンシー,10,0.47304252
ボルケニオン,46,0.4375296
モクロー,57,0.9890268
フクスロー,67,0.7755063
ジュナイパー,15,0.7551953
ニャビー,5,0.98381037
ニャヒート,43,0.89776015
ガオガエン,21,0.51165694
アシレーヌ,14,0.8875557
ツツケラ,5,0.98683256
ケララッパ,72,0.9506247
デカグース,8,0.91660863
アゴジムシ,72,0.50828093
デンヂムシ,72,0.6378636
ケケンカニ,12,0.3314358
イワンコ,48,0.4474635
ルガルガン,75,0.65020984
ヨワシ,7,0.993094
ヒドイデ,7,0.6679623
ドヒドイデ,72,0.7132707
ドロバンコ,43,0.98765576
オニシズクモ,72,0.82870173
ラランテス,72,0.52408004
ヌイコグマ,76,0.64839864
アマージョ,72,0.79049885
ヤレユータン,66,0.8159225
ナゲツケサル,72,0.60894513
コソクムシ,15,0.56383586
グソクムシャ,72,0.9341658
シロデスナ,72,0.5015714
ナマコブシ,28,0.6470093
タイプ:ヌル,66,0.79374105
シルヴァディ,3,0.99498695
メテノ,30,0.9810094
ネッコアラ,48,0.60821444
ミミッキュ,7,0.42115524
ハギギシリ,72,0.6695298
ジャラランガ,21,0.3623811
カプ・コケコ,72,0.40933225
カプ・テテフ,72,0.9709554
コスモウム,12,0.98024976
ソルガレオ,57,0.9835411
ルナアーラ,57,0.9655667
ウツロイド,21,0.7986596
マッシブーン,65,0.9873393
フェローチェ,65,0.62784034
デンジュモク,65,0.9870063
テッカグヤ,21,0.5602455
カミツルギ,65,0.49545577
アクジキング,66,0.4831124
マギアナ,28,0.99094
ベベノム,55,0.7469929
アーゴヨン,21,0.9606012
ツンデツンデ,45,0.98100895
ズガドーン,13,0.50622827
ゼラオラ,39,0.98456985
メルタン,43,0.6598945
メルメタル,43,0.73546296
サルノリ,8,0.98171234
バチンキー,21,0.97007525
ゴリランダー,14,0.96914005
ヒバニー,21,0.6584139
ラビフット,57,0.6863597
エースバーン,39,0.7013192
メッソン,57,0.98297334
ジメレオン,57,0.971785
インテレオン,14,0.8263051
ホシガリス,13,0.96594703
ヨクバリス,8,0.9670826
ココガラ,14,0.55082023
アオガラス,14,0.9681444
アーマーガア,74,0.98609126
サッチムシ,23,0.96914
レドームシ,13,0.97331
イオルブ,61,0.9820452
クスネ,57,0.49178997
フォクスライ,18,0.97095555
ヒメンカ,38,0.9813669
ワタシラガ,8,0.54618204
ウールー,38,0.9794263
バイウールー,23,0.97007537
カムカメ,13,0.69234914
カジリガメ,38,0.5488321
ワンパチ,43,0.47352177
パルスワン,21,0.68243676
タンドン,13,0.6561284
トロッゴン,21,0.5001469
セキタンザン,13,0.47718194
カジッチュ,35,0.9333435
アップリュー,75,0.4968651
タルップル,35,0.64011186
スナヘビ,21,0.6155841
サダイジャ,21,0.77197284
ウッウ,10,0.7184151
サシカマス,21,0.9620182
カマスジョー,11,0.96594787
エレズン,8,0.6613746
ストリンダー,19,0.71664715
ヤクデ,43,0.79358464
マルヤクデ,46,0.7465553
タタッコ,13,0.96913975
オトスパス,9,0.6747066
ヤバチャ,13,0.5073086
ポットデス,14,0.97984636
ミブリム,38,0.5849108
テブリム,13,0.72258383
ブリムオン,77,0.9802497
ベロバー,5,0.7418636
ギモー,13,0.96594715
オーロンゲ,39,0.9838112
タチフサグマ,8,0.9717852
ニャイキング,57,0.36930415
サニゴーン,21,0.9709545
ネギガナイト,7,0.97531205
バリコオル,9,0.86417174
デスバーン,13,0.9681445
マホミル,13,0.58557594
マホイップ,73,0.97531205
タイレーツ,13,0.98024917
バチンウニ,23,0.96594787
ユキハミ,13,0.9681442
モスノウ,13,0.7566237
イシヘンジン,38,0.96814424
コオリッポ,2,0.97331053
イエッサン,21,0.9826745
モルペコ,37,0.64977854
ゾウドウ,57,0.9670823
